source,label,env,step,return,phase,iteration,run_dir
jepa,reacher_seed0,reacher,196608,-49.20487567782402,actor_replay_collection,1,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z
jepa,reacher_seed0,reacher,262144,-31.322851806879044,actor_replay_collection,2,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z
jepa,reacher_seed0,reacher,327680,-28.61538341641426,actor_replay_collection,3,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z
jepa,reacher_seed0,reacher,393216,-28.604161150753498,actor_replay_collection,4,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z
jepa,reacher_seed0,reacher,458752,-27.78355497866869,actor_replay_collection,5,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z
jepa,reacher_seed1,reacher,196608,-59.35128064453602,actor_replay_collection,1,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z
jepa,reacher_seed1,reacher,262144,-30.649901866912842,actor_replay_collection,2,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z
jepa,reacher_seed1,reacher,327680,-34.67568980157375,actor_replay_collection,3,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z
jepa,reacher_seed1,reacher,393216,-31.866954162716866,actor_replay_collection,4,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z
jepa,reacher_seed1,reacher,458752,-31.517644479870796,actor_replay_collection,5,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed1/brax_jepa_20260627T011144Z
